"_case_","_event_","min_completion_time"
"URUD","RELEASE","2015/08/24 05:31:32.000"
"URVD","RELEASE","2015/09/02 05:46:30.000"
"URYD","RELEASE","2015/09/27 05:46:43.000"
"USGE","RELEASE","2015/12/18 05:33:58.000"
"USHE","RELEASE","2015/09/13 06:05:18.000"
"USKD","RELEASE","2015/04/11 05:36:12.000"
"UTCD","RELEASE","2015/05/02 05:30:48.000"
"UTFD","RELEASE","2015/06/06 05:35:58.000"
"UTHD","RELEASE","2015/04/26 05:38:13.000"
"UTOD","RELEASE","2015/06/05 11:50:25.000"
"UTQD","RELEASE","2015/08/29 05:44:14.000"
"UTUD","RELEASE","2015/09/28 06:04:33.000"
"UTWD","RELEASE","2015/11/11 04:37:11.000"
"UUCE","RELEASE","2015/10/29 06:08:24.000"
"UUED","RELEASE","2015/04/16 05:36:21.000"
"UUGE","RELEASE","2015/11/02 05:30:59.000"
"UUHE","RELEASE","2015/11/25 05:57:27.000"
"UULD","RELEASE","2015/06/25 05:38:55.000"
"UUND","RELEASE","2015/05/08 22:52:56.000"
"UURD","RELEASE","2015/05/27 05:33:01.000"
"UUSD","RELEASE","2015/09/07 05:31:44.000"
"UUTD","RELEASE","2015/06/25 05:37:06.000"
"UVAE","RELEASE","2015/07/04 08:05:04.000"
"UVDD","RELEASE","2015/11/18 05:34:25.000"
"UVJD","RELEASE","2015/06/29 05:36:20.000"
"UVND","RELEASE","2015/07/07 05:33:29.000"
"UVRD","RELEASE","2015/08/07 05:36:26.000"
"UVTD","RELEASE","2015/08/14 05:41:18.000"
"UWCD","RELEASE","2015/06/28 09:27:41.000"
"UWGD","RELEASE","2015/03/13 22:52:15.000"
"UWHD","RELEASE","2015/05/20 05:32:39.000"
"UWLE","RELEASE","2015/12/06 05:47:40.000"
"UWOD","RELEASE","2015/08/08 05:43:06.000"
"UWQD","RELEASE","2015/08/23 05:34:57.000"
"UWUD","RELEASE","2015/09/17 05:35:01.000"
"UWVD","RELEASE","2015/07/20 05:32:54.000"
"UWWD","RELEASE","2015/10/20 05:32:21.000"
"UXDD","RELEASE","2015/05/21 05:32:42.000"
"UXED","RELEASE","2015/04/21 05:33:23.000"
"UXLD","RELEASE","2015/07/18 05:40:32.000"
"UXND","RELEASE","2015/09/07 05:35:12.000"
"UYPD","RELEASE","2015/08/15 05:39:30.000"
"UYYD","RELEASE","2015/12/31 05:31:12.000"
"UYZC","RELEASE","2015/04/10 05:36:49.000"
"UZKD","RELEASE","2015/03/14 22:55:19.000"
"UZPD","RELEASE","2015/08/25 05:33:45.000"
"AAEE","NEW","2015/08/27 09:08:21.000"
"AAJD","NEW","2015/03/01 08:31:06.000"
"AAKD","NEW","2015/04/03 09:27:21.000"
"AAXD","NEW","2015/06/17 22:36:22.000"
"ABAE","NEW","2015/07/27 09:28:43.000"
"ABDD","NEW","2015/02/09 16:49:00.000"
"ABDE","NEW","2015/08/02 10:44:33.000"
"ABID","NEW","2015/03/21 14:35:57.000"
"ABKD","NEW","2015/03/06 12:34:49.000"
"ABQE","NEW","2015/12/28 17:02:24.000"
"ABRD","NEW","2015/05/29 20:44:11.000"
"ABUD","NEW","2015/06/20 21:31:43.000"
"ABXD","NEW","2015/06/09 21:18:47.000"
"ACED","NEW","2015/02/18 20:50:50.000"
"ACGE","NEW","2015/08/18 15:08:36.000"
"ACHE","NEW","2015/08/25 20:43:30.000"
"ACYD","NEW","2015/07/17 13:55:24.000"
"ADDD","NEW","2015/02/08 21:43:23.000"
"ADFE","NEW","2015/09/15 04:09:16.000"
"ADID","NEW","2015/02/16 01:41:36.000"
"ADLD","NEW","2015/03/13 10:13:27.000"
"ADME","NEW","2015/10/17 12:17:52.000"
"ADOD","NEW","2015/05/01 09:54:54.000"
"ADQD","NEW","2015/05/22 15:23:44.000"
"ADRD","NEW","2015/05/29 03:31:12.000"
"ADUD","NEW","2015/06/15 15:54:01.000"
"AEDD","NEW","2015/02/13 05:27:16.000"
"AEFE","NEW","2015/09/03 11:13:07.000"
"AEID","NEW","2015/02/21 13:35:22.000"
"AELD","NEW","2015/03/11 02:44:34.000"
"AEOD","NEW","2015/04/02 13:11:31.000"
"AEQD","NEW","2015/04/28 10:26:17.000"
"AERD","NEW","2015/06/01 10:58:37.000"
"AFAE","NEW","2015/07/05 11:49:11.000"
"AFDE","NEW","2015/08/31 15:27:34.000"
"AFHD","NEW","2015/03/06 16:31:52.000"
"AFYD","NEW","2015/06/19 11:03:20.000"
"AGDD","NEW","2015/01/11 10:43:56.000"
"AGHE","NEW","2015/09/05 09:01:57.000"
"AGLD","NEW","2015/04/15 15:52:12.000"
"AGME","NEW","2015/11/20 10:57:46.000"
"AGQD","NEW","2015/04/28 14:07:07.000"
"AGRD","NEW","2015/05/08 12:26:26.000"
"AGWD","NEW","2015/06/12 10:58:44.000"
"AHLD","NEW","2015/03/16 09:54:49.000"
"AHLE","NEW","2015/10/03 12:13:23.000"
"AHND","NEW","2015/04/24 16:24:59.000"
"AHWD","NEW","2015/07/03 04:31:11.000"
"AIFE","NEW","2015/08/18 14:05:25.000"
"AIHD","NEW","2015/03/04 00:24:59.000"
"AIMD","NEW","2015/03/27 00:22:40.000"
"AIYD","NEW","2015/07/12 06:33:43.000"
"AIZD","NEW","2015/07/28 21:15:57.000"
"AJBE","NEW","2015/08/07 23:53:15.000"
"AJCD","NEW","2015/02/02 15:19:57.000"
"AJCE","NEW","2015/07/24 14:32:04.000"
"AJIE","NEW","2015/10/07 13:18:30.000"
"AJJD","NEW","2015/03/28 09:52:49.000"
"AJKE","NEW","2015/09/25 04:39:51.000"
"AJVD","NEW","2015/05/28 10:53:58.000"
"AJXD","NEW","2015/07/15 04:43:17.000"
"AKGE","NEW","2015/08/31 14:41:11.000"
"AKHE","NEW","2015/08/28 14:09:07.000"
"AKME","NEW","2015/11/02 12:04:32.000"
"AKTD","NEW","2015/05/22 17:06:38.000"
"AKWD","NEW","2015/07/04 08:50:11.000"
"ALAE","NEW","2015/07/06 01:04:55.000"
"ALBD","NEW","2015/02/01 10:30:54.000"
"ALDE","NEW","2015/07/27 09:55:55.000"
"ALED","NEW","2015/02/10 13:17:49.000"
"ALGD","NEW","2015/02/06 09:48:18.000"
"ALIE","NEW","2015/10/01 14:47:24.000"
"ALLE","NEW","2015/11/02 16:57:01.000"
"ALPD","NEW","2015/05/21 11:21:16.000"
"ALSD","NEW","2015/06/12 21:52:14.000"
"AMAE","NEW","2015/08/05 21:29:53.000"
"AMDE","NEW","2015/08/26 11:18:46.000"
"AMFD","NEW","2015/03/03 20:01:57.000"
"ANAE","NEW","2015/07/06 10:13:31.000"
"ANFD","NEW","2015/01/24 17:18:51.000"
"ANNE","NEW","2015/12/06 08:27:52.000"
"ANYD","NEW","2015/06/27 10:21:54.000"
"AOGD","NEW","2015/02/01 12:21:00.000"
"AOHD","NEW","2015/02/13 17:19:19.000"
"AOHE","NEW","2015/08/29 20:52:32.000"
"AOSD","NEW","2015/05/17 15:02:44.000"
"AOYD","NEW","2015/06/16 13:32:18.000"
"AOZD","NEW","2015/07/21 08:37:09.000"
"APCD","NEW","2015/01/29 15:19:34.000"
"APFE","NEW","2015/08/24 09:55:47.000"
"APJD","NEW","2015/02/24 10:19:48.000"
"APLE","NEW","2015/10/13 11:13:38.000"
"APNE","NEW","2015/12/12 09:18:16.000"
"APUD","NEW","2015/05/20 15:48:23.000"
"AQBE","NEW","2015/07/19 09:38:16.000"
"AQCE","NEW","2015/08/19 16:09:26.000"
"AQEE","NEW","2015/08/03 22:50:40.000"
"AQGD","NEW","2015/02/28 17:53:02.000"
"AQGE","NEW","2015/09/27 14:02:26.000"
"SIRD","NEW","2015/05/12 09:03:00.000"
"SIXD","NEW","2015/07/16 02:04:47.000"
"SJAD","NEW","2015/01/19 12:54:29.000"
"SJFE","NEW","2015/08/14 02:39:24.000"
"SJMD","NEW","2015/03/18 19:01:43.000"
"SJOD","NEW","2015/04/03 13:07:55.000"
"SJTD","NEW","2015/05/19 15:24:46.000"
"SJXD","NEW","2015/06/16 09:46:41.000"
"SKDD","NEW","2015/02/13 09:09:37.000"
"SKFE","NEW","2015/09/17 14:13:58.000"
"SKJD","NEW","2015/03/01 18:46:26.000"
"SKJE","NEW","2015/10/20 01:33:04.000"
"SKKD","NEW","2015/04/02 10:14:55.000"
"SKKE","NEW","2015/09/27 09:26:45.000"
"SKPD","NEW","2015/04/22 11:10:49.000"
"SKQD","NEW","2015/05/28 10:34:23.000"
"SKRD","NEW","2015/06/03 15:39:16.000"
"SKXD","NEW","2015/07/06 13:04:38.000"
"SLAD","NEW","2015/01/21 09:52:54.000"
"SLFD","NEW","2015/01/26 01:59:28.000"
"SLOD","NEW","2015/04/05 00:31:20.000"
"SLZD","NEW","2015/06/30 09:19:05.000"
"SMBD","NEW","2015/01/31 16:27:26.000"
"SMBE","NEW","2015/08/12 10:35:31.000"
"SMCD","NEW","2015/01/12 02:44:59.000"
"SMGD","NEW","2015/03/01 10:49:10.000"
"SMHE","NEW","2015/09/27 13:18:09.000"
"SMSD","NEW","2015/06/16 09:40:58.000"
"SMYD","NEW","2015/06/25 10:05:04.000"
"SNBE","NEW","2015/08/07 19:31:52.000"
"SNCE","NEW","2015/08/13 16:45:45.000"
"SNHD","NEW","2015/02/07 21:13:21.000"
"SNIE","NEW","2015/10/01 21:20:05.000"
"SNND","NEW","2015/04/29 08:27:30.000"
"SNNE","NEW","2015/12/10 09:22:52.000"
"SNWD","NEW","2015/06/05 18:18:21.000"
"SNZD","NEW","2015/07/28 15:57:27.000"
"SOFE","NEW","2015/09/16 09:50:40.000"
"SOGD","NEW","2015/03/04 16:40:45.000"
"SOID","NEW","2015/03/16 19:05:17.000"
"SOLD","NEW","2015/04/15 08:56:10.000"
"SOSD","NEW","2015/05/14 21:46:07.000"
"SOYD","NEW","2015/07/24 16:18:24.000"
"SPBE","NEW","2015/08/08 02:38:25.000"
"SPCE","NEW","2015/08/26 21:12:28.000"
"SPFD","NEW","2015/01/23 11:45:36.000"
"SPHE","NEW","2015/09/04 11:51:16.000"
"SPJD","NEW","2015/03/02 10:06:54.000"
"SPMD","NEW","2015/04/27 13:38:30.000"
"SPOD","NEW","2015/05/14 21:33:20.000"
"SPTD","NEW","2015/05/13 15:54:20.000"
"SPUD","NEW","2015/06/02 09:08:42.000"
"SQBE","NEW","2015/08/07 15:48:23.000"
"SQCE","NEW","2015/07/30 20:42:57.000"
"SQGD","NEW","2015/03/02 07:28:44.000"
"SQLE","NEW","2015/10/13 10:55:57.000"
"SQPD","NEW","2015/05/11 12:39:56.000"
"SQQD","NEW","2015/04/23 18:25:43.000"
"SQRD","NEW","2015/06/10 20:26:51.000"
"SQSD","NEW","2015/05/11 11:47:53.000"
"SRDD","NEW","2015/02/13 04:50:36.000"
"SREE","NEW","2015/08/07 14:06:07.000"
"SRGD","NEW","2015/02/05 10:25:46.000"
"SRHE","NEW","2015/09/04 21:45:58.000"
"SRPD","NEW","2015/05/17 15:57:03.000"
"SRQD","NEW","2015/05/23 00:28:50.000"
"SRRD","NEW","2015/05/13 11:16:08.000"
"SSAD","NEW","2015/01/15 17:11:20.000"
"SSFD","NEW","2015/02/03 13:26:48.000"
"SSJD","NEW","2015/03/28 20:17:47.000"
"SSJE","NEW","2015/10/12 21:00:35.000"
"SSKE","NEW","2015/11/04 01:14:00.000"
"SSTD","NEW","2015/06/15 15:57:30.000"
"SSUD","NEW","2015/06/28 21:02:07.000"
"STBE","NEW","2015/08/13 16:51:31.000"
"STCE","NEW","2015/08/28 00:13:37.000"
"STDD","NEW","2015/01/16 14:50:38.000"
"STHE","NEW","2015/10/01 16:19:31.000"
"STID","NEW","2015/02/27 10:45:56.000"
"STLD","NEW","2015/03/24 10:51:41.000"
"STQD","NEW","2015/05/21 15:40:37.000"
"STRD","NEW","2015/06/04 21:15:26.000"
"STSD","NEW","2015/06/05 14:50:02.000"
"SUCD","NEW","2015/01/04 16:18:09.000"
"SUED","NEW","2015/02/23 12:46:50.000"
"SUHD","NEW","2015/03/20 00:59:08.000"
"SUND","NEW","2015/05/03 03:22:32.000"
"SUWD","NEW","2015/07/14 13:17:26.000"
"SUZD","NEW","2015/08/03 13:31:33.000"
"SVAD","NEW","2015/01/01 11:20:47.000"
"SVFD","NEW","2015/02/28 16:51:19.000"
"SVMD","NEW","2015/03/31 12:04:16.000"
"SVTD","NEW","2015/05/24 11:16:47.000"
"SWBD","NEW","2015/02/02 21:11:37.000"
"SWCD","NEW","2015/01/03 10:10:01.000"
"SWDE","NEW","2015/09/03 23:40:50.000"
"SWLD","NEW","2015/04/19 10:56:57.000"
"SWND","NEW","2015/05/01 23:23:42.000"
"SWVD","NEW","2015/06/01 14:59:01.000"
"VAAE","RELEASE","2015/11/29 06:30:34.000"
"VABD","RELEASE","2015/05/20 05:33:27.000"
"VAFE","RELEASE","2015/11/05 05:33:47.000"
"VAJE","RELEASE","2015/10/26 04:40:30.000"
"VAKE","RELEASE","2015/10/22 13:49:47.000"
"VAMD","RELEASE","2015/07/03 05:39:50.000"
"VAND","RELEASE","2015/07/01 05:47:11.000"
"VAUD","RELEASE","2015/07/22 05:40:09.000"
"VAZC","RELEASE","2015/12/30 05:39:13.000"
"VBFD","RELEASE","2015/03/22 13:54:12.000"
"VBID","RELEASE","2015/04/04 06:41:06.000"
"VBJD","RELEASE","2015/07/18 05:36:02.000"
"VBKD","RELEASE","2015/07/25 05:37:47.000"
"VBXD","RELEASE","2015/08/08 05:43:03.000"
"VCAE","RELEASE","2015/10/21 05:58:30.000"
"VCED","RELEASE","2015/02/15 22:50:10.000"
"VCGE","RELEASE","2015/12/10 06:21:43.000"
"VCHE","RELEASE","2015/09/06 05:32:54.000"
"VCLD","RELEASE","2015/06/13 05:34:35.000"
"VCND","RELEASE","2015/06/25 05:36:16.000"
"VCPD","RELEASE","2015/07/15 05:36:36.000"
"VCSD","RELEASE","2015/09/30 05:57:37.000"
"VCWD","RELEASE","2015/10/18 06:42:00.000"
"VDAE","RELEASE","2015/12/25 06:01:13.000"
"VDCD","RELEASE","2015/05/03 05:34:30.000"
"VDDE","RELEASE","2015/11/17 05:56:16.000"
"VDED","RELEASE","2015/02/11 18:58:21.000"
"VDGE","RELEASE","2015/12/19 05:53:54.000"
"VDPD","RELEASE","2015/07/20 05:36:38.000"
"VEEE","RELEASE","2015/12/25 05:56:34.000"
"VEFD","RELEASE","2015/05/27 05:31:07.000"
"VEID","RELEASE","2015/06/16 05:36:36.000"
"VEJD","RELEASE","2015/05/21 05:32:49.000"
"VEKD","RELEASE","2015/06/29 05:32:51.000"
"VELE","RELEASE","2015/12/23 05:33:44.000"
"VEXD","RELEASE","2015/06/19 05:30:57.000"
"VFMD","RELEASE","2015/07/24 05:35:19.000"
"VFND","RELEASE","2015/08/03 05:33:09.000"
"VFUD","RELEASE","2015/09/22 05:34:12.000"
"VGBE","RELEASE","2015/08/09 05:49:59.000"
"VGKD","RELEASE","2015/05/31 05:32:53.000"
"VGME","RELEASE","2015/11/16 05:31:31.000"
"VHFE","RELEASE","2015/11/15 06:07:37.000"
"VHLD","RELEASE","2015/03/18 04:36:25.000"
"VIJD","RELEASE","2015/07/24 05:41:52.000"
"VIKD","RELEASE","2015/04/19 05:33:25.000"
"VILE","RELEASE","2015/10/07 22:50:09.000"
"VITD","RELEASE","2015/09/15 05:31:59.000"
"VIYC","RELEASE","2015/04/05 06:35:28.000"
"VJDE","RELEASE","2015/09/11 05:32:06.000"
"VJHD","RELEASE","2015/05/10 05:34:50.000"
"VJHE","RELEASE","2015/11/03 05:42:07.000"
"VJMD","RELEASE","2015/06/06 05:35:01.000"
"VKAD","RELEASE","2015/09/01 05:47:12.000"
"VKHE","RELEASE","2015/11/29 05:39:59.000"
"VKOD","RELEASE","2015/08/04 05:39:49.000"
"VLAE","RELEASE","2015/10/06 05:45:39.000"
"VLBD","RELEASE","2015/04/30 06:06:30.000"
"VLJE","RELEASE","2015/11/29 05:54:51.000"
"VLKE","RELEASE","2015/11/17 06:11:32.000"
"VLRD","RELEASE","2015/05/30 05:33:24.000"
"VLVD","RELEASE","2015/09/19 05:54:16.000"
"VMID","RELEASE","2015/06/09 05:37:15.000"
"VMXD","RELEASE","2015/07/28 05:39:29.000"
"VNCD","RELEASE","2015/03/28 05:30:34.000"
"VNND","RELEASE","2015/05/05 05:41:29.000"
"VNPD","RELEASE","2015/09/18 05:37:22.000"
"VNSD","RELEASE","2015/06/28 05:33:30.000"
"VNWD","RELEASE","2015/10/03 05:36:37.000"
"VODE","RELEASE","2015/12/22 05:59:27.000"
"VOGD","RELEASE","2015/05/31 11:33:28.000"
"VOHE","RELEASE","2015/10/11 05:44:24.000"
"VOKD","RELEASE","2015/07/05 05:37:54.000"
"VOTD","RELEASE","2015/08/16 05:41:40.000"
"VPCD","RELEASE","2015/02/28 05:37:02.000"
"VPHD","RELEASE","2015/06/11 05:37:04.000"
"VPLE","RELEASE","2015/10/10 23:53:32.000"
"VPMD","RELEASE","2015/06/09 05:33:18.000"
"VQFD","RELEASE","2015/09/10 05:41:35.000"
"VQID","RELEASE","2015/04/02 06:12:49.000"
"VQJD","RELEASE","2015/07/02 05:35:10.000"
"VQKD","RELEASE","2015/03/12 06:04:28.000"
"VRAD","RELEASE","2015/04/27 05:32:10.000"
"VRCE","RELEASE","2015/09/17 05:44:58.000"
"VREE","RELEASE","2015/09/12 11:27:32.000"
"VRFD","RELEASE","2015/05/31 05:32:46.000"
"VRID","RELEASE","2015/07/23 05:41:42.000"
"VRJD","RELEASE","2015/06/28 05:35:12.000"
"VRTD","RELEASE","2015/08/15 05:31:37.000"
"VSDD","RELEASE","2015/04/07 05:34:12.000"
"AQHD","NEW","2015/03/15 11:58:06.000"
"AQMD","NEW","2015/04/17 14:55:50.000"
"AQSD","NEW","2015/05/08 09:35:57.000"
"AQYD","NEW","2015/06/25 23:16:40.000"
"AQZD","NEW","2015/08/02 05:48:16.000"
"ARBD","NEW","2015/01/21 12:39:37.000"
"ARBE","NEW","2015/07/19 15:31:58.000"
"ARCE","NEW","2015/07/27 21:00:54.000"
"ARJD","NEW","2015/02/26 11:38:45.000"
"ARKD","NEW","2015/03/07 09:25:54.000"
"ARKE","NEW","2015/10/26 08:27:05.000"
"ARUD","NEW","2015/06/21 08:27:31.000"
"ARVD","NEW","2015/05/28 09:45:17.000"
"ASEE","NEW","2015/09/10 13:40:27.000"
"ASFD","NEW","2015/01/25 09:40:17.000"
"ASGE","NEW","2015/08/29 10:54:05.000"
"ASHE","NEW","2015/10/01 22:03:10.000"
"ASND","NEW","2015/04/24 10:44:24.000"
"ASTD","NEW","2015/06/10 12:00:33.000"
"ASWD","NEW","2015/06/08 08:59:39.000"
"ATAE","NEW","2015/07/09 15:18:39.000"
"ATDD","NEW","2015/01/09 12:36:09.000"
"ATID","NEW","2015/03/27 22:49:50.000"
"ATJD","NEW","2015/03/07 08:25:32.000"
"ATLE","NEW","2015/11/15 02:07:02.000"
"ATOD","NEW","2015/04/19 20:58:01.000"
"ATQD","NEW","2015/05/25 13:32:46.000"
"ATRD","NEW","2015/06/08 08:31:50.000"
"ATVD","NEW","2015/06/27 17:37:55.000"
"AUDE","NEW","2015/08/30 19:38:55.000"
"AUFD","NEW","2015/01/25 01:27:48.000"
"AUND","NEW","2015/04/25 12:00:28.000"
"AUWD","NEW","2015/07/05 07:42:30.000"
"AVBD","NEW","2015/01/29 19:54:28.000"
"AVCD","NEW","2015/01/13 22:19:45.000"
"AVED","NEW","2015/01/24 14:28:12.000"
"AVGD","NEW","2015/02/07 09:20:47.000"
"AVGE","NEW","2015/09/19 12:27:37.000"
"AVHD","NEW","2015/03/17 08:30:34.000"
"AVSD","NEW","2015/06/14 09:07:35.000"
"AVZD","NEW","2015/07/27 13:51:18.000"
"AWBD","NEW","2015/02/03 20:57:16.000"
"AWCD","NEW","2015/01/08 22:49:38.000"
"AWJD","NEW","2015/04/04 14:26:03.000"
"AWJE","NEW","2015/10/12 16:16:43.000"
"AWPD","NEW","2015/05/13 20:05:26.000"
"AWUD","NEW","2015/06/27 16:02:06.000"
"AWXD","NEW","2015/07/13 01:50:29.000"
"AXCE","NEW","2015/07/22 14:04:06.000"
"AXLD","NEW","2015/04/19 14:12:21.000"
"AXND","NEW","2015/04/02 21:59:17.000"
"AXOD","NEW","2015/05/13 10:20:03.000"
"AXWD","NEW","2015/07/07 00:42:08.000"
"AYBD","NEW","2015/01/30 11:43:20.000"
"AYCD","NEW","2015/01/30 15:36:53.000"
"AYDE","NEW","2015/08/09 10:41:06.000"
"AYED","NEW","2015/02/23 14:00:51.000"
"AYGD","NEW","2015/03/04 10:21:12.000"
"AYKE","NEW","2015/09/30 22:48:32.000"
"AYPD","NEW","2015/04/26 02:38:50.000"
"AZCD","NEW","2015/01/10 09:57:49.000"
"AZGD","NEW","2015/02/06 14:51:11.000"
"AZHD","NEW","2015/03/12 05:18:10.000"
"AZIE","NEW","2015/09/11 05:16:35.000"
"AZPD","NEW","2015/04/19 12:02:50.000"
"AZYD","NEW","2015/06/30 10:56:22.000"
"AZZC","NEW","2015/01/10 13:37:21.000"
"BABE","NEW","2015/08/08 00:36:05.000"
"BADD","NEW","2015/02/06 12:05:04.000"
"BAEE","NEW","2015/09/08 10:16:32.000"
"BAGD","NEW","2015/02/02 14:18:17.000"
"BAHD","NEW","2015/02/05 18:48:07.000"
"BAID","NEW","2015/03/14 10:57:28.000"
"BALD","NEW","2015/04/10 07:19:05.000"
"BAOD","NEW","2015/04/27 15:04:31.000"
"BAWD","NEW","2015/06/02 09:52:57.000"
"BAZD","NEW","2015/06/20 15:40:44.000"
"BBBE","NEW","2015/07/04 08:49:52.000"
"BBCE","NEW","2015/08/11 21:02:02.000"
"BBDD","NEW","2015/01/13 09:44:55.000"
"BBGD","NEW","2015/02/07 17:52:08.000"
"BBHD","NEW","2015/03/04 08:27:35.000"
"BBID","NEW","2015/02/23 14:37:23.000"
"BBND","NEW","2015/04/04 10:48:11.000"
"BBOD","NEW","2015/04/04 19:39:03.000"
"BBZD","NEW","2015/06/21 10:08:06.000"
"BCAD","NEW","2015/01/07 20:01:51.000"
"BCBE","NEW","2015/08/01 14:13:52.000"
"BCHE","NEW","2015/09/20 21:14:39.000"
"BCJD","NEW","2015/03/18 09:38:39.000"
"BDBD","NEW","2015/01/27 19:10:59.000"
"BDID","NEW","2015/03/13 08:48:17.000"
"BDME","NEW","2015/11/21 11:29:13.000"
"BDOD","NEW","2015/05/09 10:02:15.000"
"BDUD","NEW","2015/05/24 19:45:46.000"
"BDXD","NEW","2015/07/03 22:37:32.000"
"BEUD","NEW","2015/06/23 22:46:48.000"
"BFED","NEW","2015/01/19 20:19:45.000"
"BFQD","NEW","2015/04/26 20:02:20.000"
"SWYD","NEW","2015/06/19 00:45:50.000"
"SWZC","NEW","2015/01/08 20:45:17.000"
"SXCE","NEW","2015/08/24 15:37:08.000"
"SXOD","NEW","2015/04/12 10:36:49.000"
"SXWD","NEW","2015/06/15 10:50:56.000"
"SYAD","NEW","2015/01/26 13:59:02.000"
"SYFD","NEW","2015/02/28 08:57:51.000"
"SYFE","NEW","2015/09/13 11:54:53.000"
"SYMD","NEW","2015/04/03 23:08:27.000"
"SYOD","NEW","2015/05/11 15:29:07.000"
"SYTD","NEW","2015/05/22 09:30:07.000"
"SYZC","NEW","2015/01/09 12:01:20.000"
"SZAD","NEW","2015/01/28 17:37:27.000"
"SZDE","NEW","2015/08/07 17:20:55.000"
"SZFD","NEW","2015/02/25 12:55:03.000"
"SZGE","NEW","2015/08/30 04:14:24.000"
"SZJD","NEW","2015/03/09 01:57:22.000"
"SZTD","NEW","2015/06/19 14:55:23.000"
"TAFD","NEW","2015/02/22 09:24:01.000"
"TAGE","NEW","2015/08/18 03:31:58.000"
"TAKD","NEW","2015/04/04 12:37:38.000"
"TAOD","NEW","2015/05/03 17:20:44.000"
"TARD","NEW","2015/04/27 11:32:35.000"
"TAYD","NEW","2015/06/17 09:15:53.000"
"TBDD","NEW","2015/01/10 23:09:54.000"
"TBEE","NEW","2015/09/06 10:40:14.000"
"TBJE","NEW","2015/10/14 16:34:23.000"
"TBLD","NEW","2015/04/07 14:39:44.000"
"TCAE","NEW","2015/06/29 16:56:29.000"
"TCBE","NEW","2015/07/16 20:42:53.000"
"TCFE","NEW","2015/08/15 03:49:33.000"
"TCJD","NEW","2015/03/26 11:41:24.000"
"TCME","NEW","2015/11/24 09:21:16.000"
"TCRD","NEW","2015/05/03 00:38:48.000"
"TDAE","NEW","2015/07/06 21:06:25.000"
"TDDE","NEW","2015/07/23 10:16:05.000"
"TDGE","NEW","2015/09/18 04:13:32.000"
"TDHD","NEW","2015/03/04 12:28:46.000"
"TDKD","NEW","2015/03/05 13:28:35.000"
"TDOD","NEW","2015/04/28 11:23:15.000"
"TDQD","NEW","2015/05/21 22:17:35.000"
"TDRD","NEW","2015/06/01 20:33:08.000"
"TDWD","NEW","2015/06/27 04:05:27.000"
"TEEE","NEW","2015/09/05 00:15:32.000"
"TEJD","NEW","2015/03/23 17:05:43.000"
"TELD","NEW","2015/04/03 12:22:31.000"
"TEVD","NEW","2015/06/04 21:10:31.000"
"TFEE","NEW","2015/08/29 09:59:06.000"
"TFHD","NEW","2015/02/06 08:56:04.000"
"TFID","NEW","2015/03/23 22:03:35.000"
"TFOD","NEW","2015/05/01 21:13:13.000"
"TFTD","NEW","2015/05/22 02:15:19.000"
"TFYD","NEW","2015/07/13 15:31:15.000"
"TGBE","NEW","2015/07/09 21:11:07.000"
"TGDD","NEW","2015/01/07 11:50:10.000"
"TGFE","NEW","2015/08/20 10:31:08.000"
"TGND","NEW","2015/04/23 16:40:00.000"
"TGOE","NEW","2015/11/23 01:32:50.000"
"TGPD","NEW","2015/04/22 08:48:44.000"
"THED","NEW","2015/02/19 09:11:10.000"
"THJD","NEW","2015/03/06 00:06:05.000"
"THLD","NEW","2015/04/12 01:24:10.000"
"THLE","NEW","2015/10/11 15:15:42.000"
"TIDD","NEW","2015/01/10 17:44:59.000"
"TIEE","NEW","2015/08/31 09:57:04.000"
"TIJE","NEW","2015/10/12 09:35:25.000"
"TIPD","NEW","2015/04/15 17:27:59.000"
"TJCD","NEW","2015/02/06 20:19:23.000"
"TJFE","NEW","2015/09/10 02:41:13.000"
"TJHD","NEW","2015/02/17 18:06:15.000"
"TJHE","NEW","2015/09/06 12:56:44.000"
"TJID","NEW","2015/03/17 11:05:28.000"
"TJIE","NEW","2015/09/13 21:08:22.000"
"TJME","NEW","2015/11/17 11:16:22.000"
"TJOD","NEW","2015/05/09 13:22:57.000"
"TJTD","NEW","2015/06/17 15:29:51.000"
"TJYD","NEW","2015/07/16 00:29:56.000"
"TKCE","NEW","2015/08/16 05:12:11.000"
"TKDD","NEW","2015/02/04 09:09:56.000"
"TKFE","NEW","2015/08/21 20:01:37.000"
"TKHE","NEW","2015/08/26 16:41:09.000"
"TKIE","NEW","2015/10/09 10:52:28.000"
"TKKE","NEW","2015/10/19 11:39:06.000"
"TKMD","NEW","2015/04/14 16:45:07.000"
"TKPD","NEW","2015/04/13 11:12:29.000"
"TLAE","NEW","2015/07/27 12:13:59.000"
"TLBD","NEW","2015/01/05 11:25:44.000"
"TLDE","NEW","2015/07/31 16:03:31.000"
"TLKD","NEW","2015/04/07 08:51:32.000"
"TLOD","NEW","2015/04/05 10:09:47.000"
"TMAE","NEW","2015/07/29 23:58:38.000"
"TMDE","NEW","2015/08/22 21:42:44.000"
"TMZC","NEW","2015/01/02 02:54:29.000"
"TNHD","NEW","2015/03/09 06:58:37.000"
"TNKD","NEW","2015/03/15 08:14:28.000"
"TNOD","NEW","2015/05/05 10:20:49.000"
"TNWD","NEW","2015/06/14 18:19:58.000"
